altitude,temp,voltage,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,เpsLat,gpsLng,gpsAlt,gpsSat,state, humidity , lastCmd

-0.37,34.42,8.29,-0.23,0.85,-1.82,-7.98,2.71,6.81,-18.50,59.00,-57.40,0.000000,0.000000,0.00,0,0,61.70,N/A$
-0.48,34.42,8.05,-0.14,1.40,-3.28,-5.12,3.16,8.10,-9.60,56.00,-61.30,0.000000,0.000000,0.00,0,0,61.78,N/A$
13.79,33.41,7.51,0.08,2.29,-0.89,-8.64,1.29,5.36,-6.10,52.90,-71.60,0.000000,0.000000,0.00,0,0,61.78,N/A$
15.41,33.30,7.40,0.22,0.88,-0.20,-8.85,1.14,2.15,-2.50,54.40,-67.50,0.000000,0.000000,0.00,0,0,61.80,N/A$
16.78,33.20,7.38,0.36,0.51,-0.40,-7.94,-1.72,2.13,1.50,56.20,-68.60,0.000000,0.000000,0.00,0,0,61.80,N/A$
22.48,32.78,8.06,0.31,0.27,0.13,-11.72,-1.84,1.92,1.70,53.20,-67.20,0.000000,0.000000,0.00,0,0,61.79,N/A$
15.70,33.29,7.41,0.67,-1.12,-0.62,-7.51,-1.88,1.57,3.90,52.80,-64.50,0.000000,0.000000,0.00,0,0,61.81,N/A$
22.08,32.83,7.41,0.56,-0.30,0.25,-12.38,4.43,3.37,2.80,52.10,-63.60,0.000000,0.000000,0.00,0,0,61.79,N/A$
19.21,33.05,7.41,0.99,0.57,1.00,-10.34,0.68,5.77,2.10,50.90,-60.50,0.000000,0.000000,0.00,0,0,61.79,N/A$
34.61,31.95,8.28,0.33,-0.24,-0.22,-8.14,-0.11,4.71,10.70,55.30,-47.70,0.000000,0.000000,0.00,0,0,61.73,N/A$
-0.64,34.46,8.28,0.61,-0.47,-0.72,-8.04,-1.35,4.24,10.70,54.20,-49.10,0.000000,0.000000,0.00,0,0,61.90,N/A$
-0.41,34.46,8.28,0.29,-0.26,-0.59,-8.21,-0.93,4.72,13.90,54.60,-46.40,0.000000,0.000000,0.00,0,0,62.03,N/A$
-0.63,34.45,8.29,0.08,-0.06,-0.09,-8.79,0.41,4.79,13.20,55.10,-43.50,0.000000,0.000000,0.00,0,0,62.14,N/A$
-0.40,34.45,8.29,0.02,0.31,0.19,-9.15,0.00,4.78,11.90,55.00,-45.80,0.000000,0.000000,0.00,0,0,62.22,N/A$
-0.50,34.44,8.28,-0.15,0.52,0.32,-9.59,0.44,3.58,13.60,55.30,-44.80,0.000000,0.000000,0.00,0,0,62.27,N/A$
-0.53,34.44,8.29,-0.05,0.36,0.18,-10.45,0.91,3.63,9.40,53.20,-42.50,0.000000,0.000000,0.00,0,0,62.30,N/A$
-0.74,34.44,8.29,0.08,0.80,0.50,-9.88,1.45,3.44,7.90,52.60,-41.50,0.000000,0.000000,0.00,0,0,62.33,N/A$
-0.76,34.44,8.28,0.16,0.83,0.78,-9.25,1.96,2.11,4.30,53.50,-40.90,0.000000,0.000000,0.00,0,0,62.36,N/A$
-0.53,34.44,8.29,0.22,0.51,0.51,-8.40,1.58,1.90,3.40,55.00,-42.30,0.000000,0.000000,0.00,0,0,62.38,N/A$
-0.60,34.44,8.28,0.30,0.25,0.47,-8.86,1.54,1.43,1.30,52.50,-43.30,0.000000,0.000000,0.00,0,0,62.50,N/A$
-0.72,34.44,8.29,0.55,0.51,0.75,-9.63,2.53,1.20,-2.90,53.10,-37.00,0.000000,0.000000,0.00,0,0,62.59,N/A$
-0.28,34.44,8.08,0.14,0.11,-0.12,-10.10,3.80,0.07,-13.30,49.10,-45.80,0.000000,0.000000,0.00,0,0,62.60,N/A$
0.00,34.44,7.39,0.39,0.06,0.03,-9.51,4.85,-0.57,-11.90,50.10,-43.60,0.000000,0.000000,0.00,0,0,62.63,N/A$
43.24,31.32,7.41,0.32,0.17,0.04,-9.68,4.03,-0.38,-13.20,50.90,-41.60,0.000000,0.000000,0.00,0,0,62.50,N/A$
43.01,31.36,7.44,0.08,0.02,-0.19,-9.25,3.89,-0.91,-13.30,49.60,-43.80,0.000000,0.000000,0.00,0,0,62.58,N/A$
42.85,31.38,8.07,-0.01,-0.05,-0.37,-9.76,3.78,-0.48,-12.50,50.80,-42.40,0.000000,0.000000,0.00,0,0,62.51,N/A$
42.12,31.39,7.41,-0.04,0.03,-0.40,-9.55,3.60,-0.08,-13.10,51.70,-43.20,0.000000,0.000000,0.00,0,0,62.42,N/A$
42.41,31.43,7.41,-0.01,-0.02,-0.08,-8.03,3.06,-0.80,-13.30,51.50,-43.70,0.000000,0.000000,0.00,0,0,62.49,N/A$
42.42,31.43,7.43,0.05,0.03,-0.10,-9.33,3.76,-0.88,-12.30,49.60,-41.30,0.000000,0.000000,0.00,0,0,62.53,N/A$
42.23,31.45,8.28,-0.12,-0.29,-0.34,-9.12,3.34,-0.70,-3.10,53.60,-34.00,0.000000,0.000000,0.00,0,0,62.52,N/A$
-0.37,34.52,8.28,0.03,-0.08,-0.04,-8.96,2.86,-0.58,-4.20,54.00,-33.40,0.000000,0.000000,0.00,0,0,62.71,N/A$
-0.45,34.49,8.28,0.15,0.25,0.37,-8.35,2.80,-0.08,-4.10,54.80,-34.70,0.000000,0.000000,0.00,0,0,62.71,N/A$
-0.54,34.48,8.28,-0.09,-0.27,-0.36,-9.86,3.14,-0.55,-3.70,54.80,-34.10,0.000000,0.000000,0.00,0,0,62.71,N/A$
-0.44,34.48,8.28,0.13,-0.06,-0.14,-9.14,2.95,-0.28,-3.70,53.40,-32.90,0.000000,0.000000,0.00,0,0,62.70,N/A$
-0.39,34.47,8.28,0.21,0.17,-0.04,-9.47,3.02,-0.26,-1.60,52.10,-35.30,0.000000,0.000000,0.00,0,0,62.68,N/A$
-0.39,34.47,8.28,0.21,-0.06,-0.43,-9.64,1.97,0.44,-1.30,54.80,-35.70,0.000000,0.000000,0.00,0,0,62.67,N/A$
